Combo,Abserrors
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Ref. / Doc.",2.065358842570122
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",1.7650468955645382
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.28215119767292013
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Ref. / Doc.",1.7398660383413882
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.283840131258779
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",2.0502023390072353
"H index_x,Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27751585508481325
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.7925285317815463
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.28058689430617156
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Ref. / Doc.",2.00637874540345
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.2828701190971999
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.0555527018508553
"H index_x,Total Docs. (2017),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.2766953168512017
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2815327282203349
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7137484764797206
"H index_x,Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.2757381468503282
"H index_x,Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.277341832500835
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.7518877080433717
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.28268759734749244
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",1.8047562727881605
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.2843528883663258
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.0921822183076015
"H index_x,Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.27758862735736756
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2811709125291379
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7435034125940316
"H index_x,Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.2760184720013889
"H index_x,Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27790224689818294
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28248671819979165
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7785764993917632
"H index_x,Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27588628964302503
"H index_x,Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27747095781387693
"H index_x,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27588081265700676
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.7656308031960601
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.2811218021541801
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",1.756295040684223
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.28223941260688806
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.4107627986831135
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.2767636325307103
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28076601019629904
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.6504278355483284
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27563646667383873
"Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27692727429897046
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2806427732106424
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.737766469205666
