Combo,Abserrors
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3346465015854077
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8455214109034258
"H index_x,Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33370850498188964
"H index_x,Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33854577272709513
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3340674827309241
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8809968660493295
"H index_x,Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3331714919685182
"H index_x,Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3373821783303481
"H index_x,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33323225994343875
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.857190591685053
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.33214996168829186
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",0.8386660807775946
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.3378621084697241
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",1.0765498072322484
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.3374532355850931
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33415879461484077
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8324692058368879
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3335527326905244
"Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33836793558858197
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3313147871615129
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8343735164394139
"Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3327193191911752
"Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33707706124117465
"Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3327759880532644
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3351002797877729
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8432171013193822
"Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3337044009674825
"Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33848311673586634
"Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3335817294137132
"Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3331758113049199
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",0.8376734182044777
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.3319024896235409
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",0.8640359013591685
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.33795669347845697
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",0.9725826555543015
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.33737868131183907
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33412409429284134
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8362588078204545
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3336103914776065
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3381378127055651
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3311059826606389
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.850430166426615
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33280228548403396
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33700864167328437
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3328798496008018
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.3348183667316893
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8460967815233541
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33375765098150645
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3383600871289204
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3335719920975956
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3332451493718458
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33342542029667616
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8199428238419041
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.3332095538982984
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33840482913882036
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3332730995589524
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3324566908465628
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3335895974251822
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.33306257409920276
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",0.8275487731624604
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.33326440725890044
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33826868574490637
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3332914505876574
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33252668403885666
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3335699550348179
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.3329735459062969
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.33293981110824244
